Date,User,Text,Link
"March 10, 2018 at 07:22PM",@realDonaldTrump,"Heading to Moon Township, Pennsylvania, to be with a really good person, State Representative Rick Saccone, who is running for Congress. Big &amp; happy crowd (why not, some of the best economic numbers ever). Rick will help me a lot. Also, tough on crime &amp; border. Loves 2nd A &amp; VETS",http://twitter.com/realDonaldTrump/status/972538115901607937
"March 10, 2018 at 07:38PM",@realDonaldTrump,"North Korea has not conducted a Missile Test since November 28, 2017 and has promised not to do so through our meetings. I believe they will honor that commitment!",http://twitter.com/realDonaldTrump/status/972542173030879233
"March 10, 2018 at 09:02PM",@realDonaldTrump,"In the first hours after hearing that North Korea’s leader wanted to meet with me to talk denuclearization and that missile launches will end, the press was startled &amp; amazed.They couldn’t believe it. But by the following morning the news became FAKE.They said so what, who cares!",http://twitter.com/realDonaldTrump/status/972563247160274947
"March 10, 2018 at 10:29PM",@realDonaldTrump,"The European Union, wonderful countries who treat the U.S. very badly on trade, are complaining about the tariffs on Steel &amp; Aluminum. If they drop their horrific barriers &amp; tariffs on U.S. products going in, we will likewise drop ours. Big Deficit. If not, we Tax Cars etc. FAIR!",http://twitter.com/realDonaldTrump/status/972585290857672704
"March 11, 2018 at 12:56AM",@realDonaldTrump,"Join me LIVE in Moon Township, Pennsylvania at 7:00pmE. Great crowd for a #MAGA rally!
https://t.co/PYJNg0WGDL",http://twitter.com/realDonaldTrump/status/972622325454659585
"March 11, 2018 at 02:37AM",@realDonaldTrump,"Epic crowd in Moon Township, Pennsylvania tonight. Thank you! Get out on Tuesday and VOTE for Rick @Saccone4PA18. Together, we are MAKING AMERICA GREAT AGAIN! https://t.co/ckbCOsDQ2l",http://twitter.com/realDonaldTrump/status/972647673944780802
"March 11, 2018 at 02:41PM",@realDonaldTrump,"The Failing New York Times purposely wrote a false story stating that I am unhappy with my legal team on the Russia case and am going to add another lawyer to help out. Wrong. I am VERY happy with my lawyers, John Dowd, Ty Cobb and Jay Sekulow. They are doing a great job and.....",http://twitter.com/realDonaldTrump/status/972829763067883523
"March 11, 2018 at 02:50PM",@realDonaldTrump,"...have shown conclusively that there was no Collusion with Russia..just excuse for losing. The only Collusion was that done by the DNC, the Democrats and Crooked Hillary. The writer of the story, Maggie Haberman, a Hillary flunky, knows nothing about me and is not given access.",http://twitter.com/realDonaldTrump/status/972832210222043137
"March 11, 2018 at 03:02PM",@realDonaldTrump,"The Republicans are 5-0 in recent Congressional races, a point which the Fake News Media continuously fails to mention. I backed and campaigned for all of the winners. They give me credit for one. Hopefully, Rick Saccone will be another big win on Tuesday.",http://twitter.com/realDonaldTrump/status/972835128056664066
"March 11, 2018 at 03:49PM",@realDonaldTrump,"The Democrats continue to Obstruct the confirmation of hundreds of good and talented people who are needed to run our government...A record in U.S. history. State Department, Ambassadors and many others are being slow walked. Senate must approve NOW!",http://twitter.com/realDonaldTrump/status/972846978823610369
"March 11, 2018 at 04:16PM",@realDonaldTrump,"Rasmussen and others have my approval ratings at around 50%, which is higher than Obama, and yet the political pundits love saying my approval ratings are “somewhat low.” They know they are lying when they say it. Turn off the show - FAKE NEWS!",http://twitter.com/realDonaldTrump/status/972853747750711296
"March 12, 2018 at 01:20PM",@realDonaldTrump,Secretary of Commerce Wilbur Ross will be speaking with representatives of the European Union about eliminating the large Tariffs and Barriers they use against the U.S.A. Not fair to our farmers and manufacturers.,http://twitter.com/realDonaldTrump/status/973171763835228162
"March 12, 2018 at 02:15PM",@realDonaldTrump,"Very strong improvement and strengthening of background checks will be fully backed by White House. Legislation moving forward. Bump Stocks will soon be out. Highly trained expert teachers will be allowed to conceal carry, subject to State Law. Armed guards OK, deterrent!.......",http://twitter.com/realDonaldTrump/status/973185831547670529
"March 12, 2018 at 02:22PM",@realDonaldTrump,"....On 18 to 21 Age Limits, watching court cases and rulings before acting. States are making this decision. Things are moving rapidly on this, but not much political support (to put it mildly).",http://twitter.com/realDonaldTrump/status/973187513731944448
"March 12, 2018 at 03:12PM",@realDonaldTrump,"If schools are mandated to be gun free zones, violence and danger are given an open invitation to enter. Almost all school shootings are in gun free zones. Cowards will only go where there is no deterrent!",http://twitter.com/realDonaldTrump/status/973199981292216320
"March 12, 2018 at 03:43PM",@realDonaldTrump,"The Pittsburgh Post Gazette just endorsed Rick Saccone for Congress. He will be much better for steel and business. Very strong on experience and what our Country needs. Lamb will always vote for Pelosi and Dems....Will raise taxes, weak on Crime and Border.",http://twitter.com/realDonaldTrump/status/973207890084401152
"March 12, 2018 at 10:13PM",@realDonaldTrump,It was my great honor to welcome the 2017 World Series Champion Houston @Astros to the @WhiteHouse! #HoustonStrong https://t.co/IO6B42jixA,http://twitter.com/realDonaldTrump/status/973305935685963776
"March 13, 2018 at 01:49AM",@realDonaldTrump,"THE HOUSE INTELLIGENCE COMMITTEE HAS, AFTER A 14 MONTH LONG IN-DEPTH INVESTIGATION, FOUND NO EVIDENCE OF COLLUSION OR COORDINATION BETWEEN THE TRUMP CAMPAIGN AND RUSSIA TO INFLUENCE THE 2016 PRESIDENTIAL ELECTION.",http://twitter.com/realDonaldTrump/status/973360355790479361
